items,quantities,unit_utilities
pretzels|bagel|cake|wine|toilet_paper,2.1|4.5|5.0|4.0|2.4,2.24|4.86|2.69|10.87|8.66
toothpaste|oil|pretzels|tomato,1.2|3.1|1.2|2.5,11.48|4.13|6.82|2.97
vinegar|pizza,4.1|2.4,7.4|6.22
tuna|vegetables|shampoo,4.4|3.2|4.9,6.96|4.46|7.03
potato|ham,2.3|1.2,1.92|7.17
flour|salt|juice,2.3|3.2|4.5,2.42|5.82|6.18
banana|tuna|turkey_slices,3.3|3.7|3.5,2.82|14.9|7.68
cream|chicken|ham,1.9|1.9|4.6,7.34|9.66|6.73
bagel|pretzels,1.7|3.4,3.96|4.86
butter|bagel|sugar|yogurt|flour,4.2|1.2|1.2|2.8|1.4,2.69|5.45|3.98|5.85|5.0
tuna|soda,4.4|1.3,6.64|5.77
turkey_slices|soda,4.6|4.4,5.17|3.62
salami|juice|potato,3.8|4.5|1.8,6.55|4.47|3.16
butter|bagel,3.0|2.9,7.33|4.08
dessert|potato|milk|tea|pretzels,3.0|3.8|1.5|3.5|3.1,4.38|2.66|5.35|3.2|4.75
detergent,1.0,10.65
croissant|sugar|apple,2.9|4.7|3.3,4.09|6.02|2.07
chicken|flour|hummus,3.1|1.5|1.7,6.52|5.51|8.19
turkey_slices|shampoo|vinegar|croissant,4.7|1.0|3.3|3.5,8.95|8.85|7.58|2.87
olives|shampoo|cake,2.9|4.6|2.7,9.17|8.23|2.13
vegetables|ham,4.3|3.0,9.03|5.77
salmon|carrot|paper_towels,1.9|2.9|1.9,12.9|3.98|9.25
chips|banana|hummus,4.8|2.4|1.1,3.32|3.25|4.36
bagel|nuts|shampoo|croissant,3.9|2.6|1.6|2.0,2.63|3.0|4.5|5.31
pretzels|cereal,4.7|3.4,3.27|5.17
rice|yogurt,3.9|4.1,4.31|2.85
dinner|wine|candy|chicken|salami,5.0|1.4|3.1|3.0|3.3,7.64|11.3|6.01|11.77|9.66
wine|croissant|ham|muffin|juice,3.9|1.9|1.5|3.0|4.2,5.8|2.65|9.53|4.25|1.81
orange|beer|onion,2.9|1.6|1.4,3.88|9.39|3.2
ham|croissant|crackers|butter,3.2|4.4|2.1|4.5,4.71|5.57|4.13|3.74
butter|toilet_paper|apple|toothpaste|yogurt,2.3|3.3|1.8|1.2|3.5,6.79|5.1|3.49|10.45|4.63
salmon|tea|soap,4.6|4.4|2.5,6.48|1.27|8.82
soda|nuts|olives|potato,1.7|3.8|2.9|3.9,7.32|3.89|9.19|2.59
chips|water,1.3|4.9,2.73|3.54
soap|paper_towels|salmon|flour|cream,1.4|3.5|1.6|4.7|4.0,3.75|3.28|7.3|5.62|6.61
turkey_slices|apple|bagel|chips,2.3|1.3|1.6|1.3,4.73|3.54|2.55|3.61
nuts|wine|cookies|chicken,1.5|1.5|1.1|4.7,6.93|11.6|5.08|14.89
olives|oil,2.7|3.1,4.14|6.02
turkey_slices|water,4.9|1.1,9.18|2.71
ham|vinegar|nuts,2.2|1.5|4.8,8.76|2.01|4.35
milk|bagel|nuts,1.2|3.4|2.0,3.18|1.98|4.89
shampoo|pizza,3.3|2.5,8.57|6.78
olives|tea|chips,4.6|3.4|3.6,6.45|8.61|3.09
salt|rice|oil|croissant,5.0|3.3|3.8|3.8,6.6|5.06|4.17|3.13
dinner|dessert|onion|tuna,4.7|1.7|3.2|2.6,7.94|8.99|1.44|11.9
detergent|shampoo|salmon,4.6|4.3|2.5,3.51|10.64|8.56
cake|juice|lettuce|milk|nuts,3.4|2.0|4.2|4.9|1.0,3.99|4.59|2.57|7.55|5.17
turkey_slices|ham|cereal,2.1|4.1|1.2,5.29|7.74|5.12
chicken|bread,3.7|2.1,10.52|5.44
milk|cereal|cream,3.4|2.0|1.7,5.47|6.21|5.42
candy|orange|nuts|croissant,2.5|1.7|1.2|3.9,4.61|3.29|2.05|3.34
turkey_slices|soda|muffin|sugar|vinegar,5.0|3.9|1.5|4.6|3.0,4.19|7.0|4.18|6.87|6.97
potato|flour,4.1|3.5,2.71|1.52
flour|candy|butter|crackers|turkey_slices,4.9|4.1|4.0|4.5|1.2,6.64|4.67|2.71|3.73|5.55
vegetables|cereal|dinner|cookies,1.5|3.9|1.3|4.5,9.58|1.59|4.05|2.75
vegetables|soap|cream|salmon,1.0|4.2|4.7|4.7,5.66|7.52|3.71|14.71
pizza|soda,3.1|1.7,4.82|11.57
soda|crackers,2.4|1.6,1.48|3.29
candy|soda|hummus,1.9|1.4|3.9,3.74|1.19|8.4
berries|dessert|beef|water,2.7|4.8|3.1|1.1,4.89|6.44|9.94|10.92
muffin|cream|apple|vegetables|tea,1.7|3.0|3.9|1.0|3.2,2.81|7.5|2.27|6.44|4.99
pizza|shampoo,3.4|3.4,4.47|6.65
carrot|dessert,3.4|1.0,3.29|3.47
chicken|juice|rice|cream,4.6|3.5|3.4|3.9,8.93|4.89|5.63|6.46
vegetables|banana,2.9|2.9,9.93|3.99
croissant|soda|pretzels,4.1|3.8|1.0,4.57|7.07|3.08
soda|vegetables,4.0|2.3,9.39|7.11
hummus|tomato|croissant|toilet_paper,3.2|3.8|2.6|1.6,6.04|1.26|3.41|4.23
salmon|olives|carrot|dessert,2.7|3.3|4.4|2.1,10.42|9.09|3.19|7.42
ice_cream|dessert|beef|tuna,3.3|2.6|3.7|4.4,7.51|5.8|5.08|7.09
dessert|shampoo|banana,4.8|3.8|3.8,4.98|9.67|1.59
soda|flour|cookies|orange|bagel,2.3|1.4|1.7|2.3|4.7,1.07|5.97|2.82|2.71|4.86
cereal|dessert,4.1|4.5,2.57|9.36
salami|hummus|onion,3.1|4.0|1.0,8.92|6.89|1.85
toothpaste|cheese|detergent|hummus,4.1|3.3|4.2|3.8,5.49|5.48|3.74|7.39
tomato|turkey_slices|apple|vinegar,4.9|3.9|1.1|3.1,3.57|8.81|2.65|5.04
yogurt|detergent|sugar,3.1|2.3|4.4,4.59|5.9|3.1
apple|olives,2.7|2.3,2.65|5.6
carrot|yogurt,3.3|3.3,1.22|4.33
berries|cream,4.8|1.7,3.01|7.27
cake|wine,1.2|4.8,2.71|10.6
turkey|bagel,3.7|2.0,13.01|4.38
pizza|beef|potato,4.1|2.6|1.5,8.78|6.61|1.33
tea|cheese,3.0|3.0,6.83|7.92
carrot|apple|pizza,3.1|1.5|3.3,2.56|3.03|3.06
cream|cookies|carrot,1.4|4.8|3.1,5.47|3.4|3.55
tuna|pizza|onion|crackers,1.1|3.5|3.6|2.6,5.39|6.93|2.12|6.83
vinegar|salami|vegetables|water,3.9|4.2|3.0|3.3,7.82|8.26|6.55|1.51
rice|coffee|orange,3.4|4.0|1.3,4.65|8.39|3.33
chocolate|bread|salt|onion,2.7|4.9|2.8|1.1,6.43|3.36|6.74|1.9
beef|carrot,3.2|4.7,7.76|3.06
toothpaste|turkey|dinner,1.6|3.1|3.8,10.29|12.12|9.68
tuna|dinner|banana,3.4|2.8|3.7,5.6|3.26|3.19
ice_cream|bread|banana|lettuce,3.0|4.1|4.9|4.1,6.94|4.59|2.28|2.35
soap|salmon|shampoo,1.7|4.2|2.3,10.51|9.75|3.42
toothpaste|banana|cream,2.9|2.3|2.9,6.56|3.72|2.97
orange|dessert|beer,4.7|4.9|4.1,3.62|8.36|6.43
cream|banana|toothpaste|chicken|paper_towels,1.2|3.6|4.5|1.1|4.0,2.75|3.62|7.94|9.35|7.94
pretzels|salmon|cookies,1.8|3.4|2.4,5.56|11.0|3.98
nuts|milk|soap|soda|turkey_slices,2.2|4.8|2.9|3.7|4.0,3.35|7.61|7.54|6.85|4.35
pretzels|wine|juice,2.6|2.7|4.2,4.57|9.0|9.52
oil|chicken|apple,4.6|3.4|1.7,7.72|10.32|1.25
detergent|cookies|vinegar,2.1|4.4|3.6,6.88|4.08|5.59
potato|lettuce|tomato,3.3|2.1|4.1,2.33|3.65|1.35
chicken|lettuce|juice,4.9|1.6|3.3,14.25|2.26|7.01
detergent|paper_towels,3.0|1.1,3.14|5.29
soda|vinegar|muffin,1.3|3.7|3.3,10.01|6.21|1.57
bagel|potato|tomato|crackers|cookies,3.5|2.5|3.5|2.2|1.5,5.43|3.45|3.07|4.6|2.28
muffin|candy|pretzels,1.1|3.5|3.4,4.52|3.05|2.37
chicken|milk|onion|dessert,3.7|1.4|3.0|3.0,12.98|4.23|1.06|5.52
carrot|chips|crackers|toilet_paper|chocolate,2.2|3.2|3.4|3.9|1.8,3.57|3.76|4.5|5.84|2.42
paper_towels|beer,4.8|3.1,10.93|9.26
olives|yogurt|shampoo,2.3|2.5|4.1,5.82|3.09|9.43
tomato|orange,2.4|3.7,2.05|2.82
berries|cereal,5.0|1.6,5.04|5.86
soda|bagel|turkey_slices|ham|chicken,4.1|2.8|4.5|4.7|4.1,7.89|4.29|6.25|4.82|10.3
milk|banana,3.9|1.4,3.81|1.95
tuna|water|pretzels,3.6|1.0|3.2,10.63|9.16|2.05
chicken|candy,2.2|4.8,11.83|2.0
pizza|ice_cream|candy|tomato|cereal,2.1|3.6|2.8|4.5|4.0,8.5|2.73|5.37|1.95|3.21
ham|olives|cereal|beef,2.8|2.5|4.6|2.8,9.84|4.33|2.62|14.56
banana|paper_towels,4.4|4.6,2.9|6.19
crackers|pasta|sugar|cookies,3.7|1.6|1.1|3.2,4.19|4.88|4.68|4.45
shampoo|turkey|soap,4.0|1.9|1.5,11.54|11.04|8.67
juice|pretzels|berries|pork,2.9|2.3|1.3|2.5,7.59|3.24|6.2|10.3
flour|tomato|tuna,2.8|3.2|1.8,6.11|3.78|8.44
salmon|turkey_slices|pasta,4.2|1.1|1.5,13.17|6.4|7.56
carrot,2.4,1.8
soda|bagel|orange,1.2|2.5|3.6,6.06|2.93|1.79
potato|croissant,2.8|4.5,1.78|2.89
tea|candy|rice,3.3|3.3|3.3,11.66|4.89|1.93
dinner|vinegar|nuts,4.4|4.3|1.2,3.05|2.78|4.3
bread|pasta,3.9|1.7,2.46|7.26
orange|berries,1.4|2.3,2.74|9.05
carrot|tuna|pork|pretzels,3.2|2.9|4.6|1.9,1.79|14.12|8.26|3.77
nuts|paper_towels|coffee,3.1|3.5|2.8,3.32|11.62|2.77
oil|soda|detergent,2.9|4.8|1.7,6.15|11.89|7.41
soap|cake|dinner,3.6|1.4|4.1,7.89|4.06|5.08
salami|salmon|pork|flour,4.9|2.9|4.2|2.5,6.88|10.63|9.51|2.2
turkey|cream|cake,4.2|1.7|4.6,7.3|7.0|5.59
oil|juice,2.7|2.7,2.59|10.46
sugar|chips,2.1|1.2,2.94|2.39
butter|carrot|cookies|sugar|nuts,1.9|3.3|2.0|4.6|1.4,5.41|1.37|2.52|5.43|2.8
cake|turkey|crackers|berries|olives,3.6|4.1|4.4|4.9|4.8,5.72|9.95|2.96|9.79|4.74
pizza|ham|turkey_slices|salami,2.5|2.4|3.0|3.8,8.21|5.73|8.71|9.41
potato|vegetables|tomato|onion,1.5|4.5|2.6|3.4,3.89|9.59|1.09|2.1
beer|salt|berries|banana|shampoo,3.9|2.7|4.1|4.4|1.8,8.93|5.06|4.49|1.81|3.3
ice_cream|croissant|candy,3.6|1.1|3.1,4.0|5.07|6.44
banana|soap|salt,2.5|2.7|2.5,3.64|10.72|5.12
beef|water|crackers|vegetables|tuna,3.0|3.2|3.3|3.9|4.0,8.24|7.14|5.59|3.42|12.5
shampoo|chicken,3.1|4.5,11.59|12.43
cereal|beer|soda|water|soap,3.4|1.3|1.8|3.8|4.7,5.57|10.15|2.67|9.81|5.71
cake|soap,2.7|1.1,4.75|9.91
sugar|turkey_slices|salt,1.7|4.3|4.5,6.57|5.41|3.95
oil|chips|bagel|rice|milk,3.8|1.7|2.3|2.5|3.7,3.45|5.5|5.89|4.5|5.7
crackers|chicken,3.3|4.7,4.56|6.84
flour|salt|oil|wine|soda,4.8|2.6|3.9|4.4|4.7,5.84|3.5|6.46|2.53|9.28
pasta|paper_towels|chips|chocolate|carrot,4.6|2.0|2.1|3.6|1.6,2.35|9.85|5.61|4.52|3.07
chicken|chocolate|coffee|sugar,1.6|1.0|4.1|3.7,8.67|4.15|5.84|2.16
turkey|chocolate|pizza|cheese,1.9|4.7|4.4|4.5,7.88|3.37|3.7|6.04
wine|toilet_paper|oil,4.1|4.1|4.5,8.53|10.37|5.76
rice|beef,3.8|2.4,2.04|12.59
bagel|chicken,3.0|2.4,4.57|11.33
coffee|cheese|soda,3.3|1.4|3.4,11.81|4.11|8.05
salami|salmon|bread|orange,1.4|1.9|1.2|4.4,7.84|14.2|3.56|2.07
onion|cereal|beef,4.6|4.4|1.2,2.47|1.66|14.67
onion|cookies|pizza,1.6|2.3|1.1,1.2|1.66|6.65
nuts|cake|sugar|orange,1.2|4.6|1.9|4.2,6.6|4.71|4.12|1.48
pasta|soda|butter|ice_cream,4.5|4.0|3.6|2.0,2.09|11.68|3.54|7.49
tuna|banana|lettuce|sugar,3.1|2.0|1.4|4.9,10.91|3.24|2.62|4.06
coffee|nuts|beer,3.1|4.8|1.7,10.17|2.84|8.54
ice_cream|candy,4.8|3.6,7.56|4.03
candy|tomato|soap|vegetables,1.1|3.8|2.7|3.1,3.74|3.64|7.98|6.31
milk|carrot|beef|juice,1.0|1.5|4.6|4.2,2.85|1.08|7.06|9.31
pork|salmon|dessert,2.3|1.9|2.3,12.56|12.77|9.87
ice_cream|water,4.4|3.0,7.23|10.94
olives|crackers|salmon|carrot,3.1|2.3|4.8|3.9,9.05|2.29|8.69|1.86
tuna|apple|salmon|vegetables,1.4|4.2|2.5|2.2,11.93|1.76|6.13|8.7
paper_towels|chicken|bread,3.6|4.2|3.9,9.82|7.5|2.87
nuts|flour|soda|pasta|salmon,3.8|2.9|3.5|3.1|1.7,5.92|3.17|10.25|4.12|10.1
hummus|paper_towels|berries|dinner,3.4|4.6|1.3|3.1,9.73|8.85|6.85|4.24
paper_towels|soda,3.6|2.3,11.92|3.35
banana|tea,4.7|1.6,2.63|7.64
oil|muffin|pretzels,3.3|2.8|4.8,1.81|3.69|2.59
hummus|banana|nuts|soda,1.2|2.1|2.3|4.6,6.84|3.22|4.9|10.27
oil|ice_cream|muffin|nuts,3.5|3.5|2.5|4.5,6.45|7.87|5.01|6.61
potato|toothpaste|pretzels|juice|water,4.3|3.9|2.9|1.2|1.5,3.88|5.79|4.24|5.6|1.19
pizza|bagel|cream,2.4|1.1|1.5,7.6|2.59|6.85
bagel|pasta,1.2|3.1,3.89|6.92
carrot|croissant|detergent|berries|beer,2.3|4.5|1.1|3.8|2.5,2.46|5.26|8.88|8.24|9.57
chicken|oil|cream,3.7|5.0|2.5,14.21|5.22|5.62
chocolate|flour,4.9|3.3,2.44|2.65
cookies|sugar|oil|salmon,4.3|3.5|3.4|4.0,2.12|6.65|1.57|6.18
coffee|cake|carrot|salmon,3.2|5.0|3.9|2.8,2.67|5.96|1.41|9.51
toilet_paper|rice|shampoo,2.9|2.8|2.1,8.86|5.37|5.87
onion|crackers,2.7|3.2,2.84|5.38
butter|cereal,2.0|4.3,3.77|3.61
cake|crackers|bread,3.7|2.3|1.2,1.95|2.33|4.09
olives|ice_cream|salmon,2.9|2.8|3.5,7.74|4.92|11.45
soda|vegetables,3.2|3.6,5.37|4.5
chips|butter|oil|beef,1.0|2.5|3.8|4.9,6.52|3.94|3.75|11.73
banana|ham|potato|tuna,3.6|3.5|2.4|1.1,1.39|9.54|2.12|5.84
soap|carrot|apple,2.7|2.2|4.2,5.4|1.57|1.32
turkey_slices|yogurt|bagel,1.5|2.6|3.3,7.9|2.11|3.66
croissant|pork|vegetables,2.2|5.0|4.9,3.02|14.27|9.34
vegetables|flour|carrot,2.8|3.5|2.9,4.65|3.61|1.57
cookies|cream|orange|turkey,1.8|1.9|2.5|3.1,2.29|3.71|1.79|13.25
water|pizza,4.7|4.5,5.09|4.43
salt|cereal|juice|olives|toothpaste,1.1|2.7|4.8|4.3|3.6,1.56|4.4|11.9|4.9|10.28
beer|lettuce|pasta|berries,3.8|3.2|2.9|4.7,6.86|3.5|4.44|8.07
detergent|ice_cream|rice|salt,3.6|3.5|1.7|2.7,4.61|7.57|7.9|3.98
chocolate|dessert,2.4|2.1,6.16|5.51
flour|muffin|cookies|cream|turkey_slices,4.5|3.9|1.4|3.4|4.6,6.17|3.4|4.56|5.29|6.29
pizza|croissant|potato|vinegar|yogurt,1.5|3.5|2.1|1.5|1.8,5.52|1.51|3.56|3.33|2.88
milk|cookies|beer|pork,4.3|3.5|2.7|2.1,2.77|5.54|7.73|11.98
yogurt|pretzels,1.8|2.7,5.43|5.09
toothpaste|dinner,1.1|2.6,7.82|9.49
salami|turkey|tomato|beer,2.7|2.0|1.2|1.4,5.6|10.57|2.01|8.74
cereal|beer|potato,2.8|2.3|1.7,6.25|9.18|3.57
apple|vinegar|butter|beef|carrot,2.0|2.7|2.7|3.8|3.7,2.73|1.62|6.41|11.77|3.77
chips|milk|salmon,2.2|2.7|1.4,3.01|6.37|6.94
banana|orange|toothpaste|juice|water,3.6|4.4|3.1|2.1|4.0,2.39|3.03|3.48|6.08|3.59
croissant|soda|tea|turkey|juice,2.9|4.7|3.6|3.7|3.1,2.11|11.93|10.31|12.83|5.84
cookies|pasta|toilet_paper|vegetables|salt,2.4|1.6|3.2|3.6|4.6,3.12|6.04|6.88|6.14|7.2
sugar|tuna|toothpaste,3.8|3.3|1.0,5.41|12.66|4.7
juice|salt,3.1|2.9,8.71|6.27
salt|ham|juice,4.0|1.5|4.5,5.63|8.32|7.6
pizza|soda|sugar|lettuce,2.9|3.4|3.0|3.7,3.94|6.65|1.77|1.94
pizza|butter|milk,3.4|2.9|1.7,4.86|7.63|6.47
banana|croissant|crackers|chocolate|wine,4.7|2.3|3.5|2.6|4.2,2.29|4.22|5.39|6.17|4.65
chips|flour,2.8|2.8,2.41|5.79
dessert|wine|chips|toilet_paper,4.2|1.7|1.5|3.9,9.09|8.33|4.26|5.09
yogurt|croissant|butter|chocolate,1.7|4.1|3.2|4.3,4.2|2.64|3.69|2.31
oil|chicken,3.4|1.9,5.63|7.6
soda|pork|tuna|vegetables,1.4|4.8|2.1|2.5,5.38|13.68|13.93|3.94
vinegar|pork|potato,5.0|1.5|4.1,5.26|12.24|3.23
tea|berries|butter,4.8|4.5|3.2,4.0|8.0|7.4
cereal|hummus,2.5|3.2,4.51|6.31
bagel|salt|sugar|cheese|bread,4.0|3.3|3.9|5.0|2.7,4.56|7.6|2.72|6.24|5.22
lettuce|milk,3.0|1.8,1.29|5.57
chicken|paper_towels|cookies|turkey,3.9|1.5|2.9|1.5,11.77|11.38|4.75|12.47
dessert|paper_towels,1.1|2.3,8.01|8.73
salt|detergent|candy|croissant,4.3|1.9|2.6|4.4,6.97|9.4|5.45|1.78
olives|apple,1.2|5.0,7.87|1.97
nuts|soap,3.2|1.0,3.2|5.3
nuts|ice_cream,4.4|3.8,4.81|4.07
toothpaste|nuts|vegetables|dinner,1.3|3.2|1.9|2.4,7.9|4.4|9.03|4.27
croissant|vegetables|yogurt|pizza|toilet_paper,1.1|1.0|4.5|1.5|1.5,4.06|7.78|3.96|4.83|11.42
water|dessert|onion|rice,1.1|3.4|1.1|4.8,11.21|8.01|3.26|6.06
bagel|pasta,2.0|3.9,3.32|6.32
turkey_slices|vinegar,1.6|2.7,8.64|4.74
cheese|sugar|cream|chicken,2.1|1.7|3.3|1.2,6.89|2.12|4.12|10.67
onion|candy,1.1|3.1,2.17|2.99
sugar|chips,2.7|1.3,7.2|6.78
pasta|toothpaste|cookies,1.2|4.9|1.1,5.74|7.4|2.49
salami|tuna,4.7|4.3,8.44|13.63
dinner|flour,1.4|4.2,3.39|7.39
salmon|pasta|milk,4.7|1.5|3.0,8.45|2.99|7.87
turkey|detergent|juice,4.8|1.6|2.6,9.75|6.03|11.32
carrot|muffin|pretzels,1.2|1.2|1.7,1.18|4.43|6.2
chicken|soda|croissant|berries|paper_towels,1.4|2.2|1.1|3.5|3.1,8.57|5.44|4.69|5.81|3.26
oil|toothpaste,2.8|4.7,6.53|6.58
sugar|bread,3.8|1.4,4.58|3.79
coffee|banana|vegetables,4.1|4.5|1.7,1.53|1.38|3.4
tea|beef,4.3|4.2,10.23|8.42
cheese|berries|turkey,2.3|1.6|3.3,7.94|7.41|6.13
cream|salami|oil|soda,2.2|1.0|4.4|3.4,5.96|8.12|3.47|7.4
banana|cheese|rice,1.8|1.5|4.9,2.57|7.56|4.9
carrot|tea|orange,3.9|3.7|3.3,2.8|7.85|1.52
onion|beer|ice_cream,2.7|1.9|3.7,1.82|3.1|6.19
chips|cheese,1.3|3.7,2.49|7.15
toilet_paper|turkey,3.1|1.6,5.61|12.81
cheese|rice|lettuce|banana,4.8|4.4|4.3|1.8,3.75|2.81|2.55|2.62
yogurt|croissant,2.3|2.8,2.14|2.03
turkey|tuna|vinegar|potato|salami,1.0|2.5|5.0|1.0|4.4,14.69|11.86|2.98|2.38|8.3
turkey_slices|berries,2.2|1.1,6.06|3.02
dinner|crackers|cream,4.5|3.8|1.1,3.11|3.28|2.42
toothpaste|salt,4.0|3.9,4.58|6.2
onion|beef|ice_cream|pasta,2.8|1.4|4.9|4.1,3.45|9.97|3.85|7.44
dessert|nuts|onion|bread,1.5|4.4|2.3|2.7,5.81|4.57|1.55|3.64
bread|apple|vegetables,4.6|1.6|1.4,4.63|1.37|3.14
bread|onion,1.0|4.4,3.45|3.09
dessert|sugar,3.1|1.0,6.15|2.38
crackers|paper_towels|toilet_paper|hummus|detergent,3.8|1.5|3.6|1.8|2.2,3.07|6.16|11.95|7.38|6.23
cake|tomato,1.7|1.9,3.55|3.53
turkey_slices|tuna,1.8|1.8,5.61|12.13
bread|toothpaste|chocolate|tea|salmon,3.5|4.0|4.7|2.7|2.2,2.34|6.74|6.46|5.88|6.37
coffee|ham|muffin|rice|butter,1.2|3.7|4.8|4.4|1.5,2.79|4.81|5.41|7.1|6.78
butter|tomato|chips|dinner|chocolate,2.0|3.9|4.0|2.4|4.0,4.22|1.14|6.94|6.98|6.82
ice_cream|wine|pork|paper_towels|carrot,2.0|2.3|4.6|4.8|1.0,7.92|8.2|9.96|9.49|1.85
cookies|cereal,1.3|1.7,4.7|2.57
oil|hummus|butter,4.8|2.1|4.2,4.5|8.1|7.8
carrot|pizza|onion,1.2|4.4|1.5,2.02|9.75|2.43
berries|muffin,1.7|1.2,5.24|4.78
cake|potato,1.5|1.4,2.9|2.69
pork|salami|cheese|beer,3.1|1.6|3.1|2.2,10.75|9.68|5.62|5.87
chips|dinner,1.2|2.8,2.9|3.06
tuna|toilet_paper,2.0|2.3,7.34|11.64
oil|yogurt|flour|pasta,2.9|1.2|2.3|4.7,7.47|2.86|2.56|7.63
pasta|salmon|muffin|vegetables,2.1|4.9|4.7|1.5,1.6|8.91|5.16|6.74
tomato|juice|olives|bread,1.8|4.2|1.9|2.5,1.86|7.24|9.6|5.96
pretzels|bagel,2.9|3.0,4.48|3.43
chocolate|tuna|detergent,3.2|4.2|2.9,3.97|13.34|9.03
tea|chocolate|salami|olives|salmon,3.9|3.4|3.9|1.8|4.3,1.46|2.81|7.76|6.78|5.02
tomato|potato,2.7|1.1,3.66|1.64
turkey_slices|toilet_paper,3.7|2.3,8.9|11.28
dinner|ham|shampoo|dessert,3.3|2.3|3.9|4.6,4.7|8.85|8.8|9.06
tomato|wine|pork,3.1|1.1|1.4,1.51|7.67|9.67
tomato|chips|lettuce|ice_cream|dessert,1.8|1.8|4.1|4.5|1.1,2.28|6.93|2.47|4.01|3.69
milk|salami,1.4|4.9,2.5|8.18
salami|yogurt|bagel,2.5|4.9|3.7,5.07|2.08|5.1
cheese|toothpaste|tuna,2.7|1.6|1.0,3.15|11.12|13.47
crackers|tea,2.3|3.8,4.59|2.07
salt|muffin|butter,2.0|2.9|1.2,5.05|5.28|3.33
soda|potato|pretzels,3.3|3.0|4.5,8.29|1.55|3.82
lettuce|salmon|soap|tomato,4.3|2.1|3.1|2.6,1.87|6.77|11.77|1.49
chicken|beef|beer|crackers,1.7|3.3|1.2|1.9,10.19|7.3|7.35|3.38
hummus|bagel|dinner|potato,2.3|3.2|4.4|3.9,4.03|2.37|9.01|2.87
yogurt|turkey_slices|dinner|lettuce,2.6|3.5|3.0|2.1,3.06|8.1|4.77|1.63
turkey|salmon|rice|apple|wine,2.1|1.8|3.0|3.1|3.1,14.69|14.48|7.22|3.64|3.11
yogurt|onion|detergent,1.2|4.4|1.9,7.5|1.1|11.78
berries|beer,4.0|2.4,6.9|5.08
beer|yogurt,4.5|2.9,11.86|6.17
tomato|hummus|toothpaste,3.9|3.7|3.3,1.87|5.75|7.94
apple|cheese,1.9|1.3,1.48|3.28
detergent|nuts|hummus,2.2|4.8|4.0,5.92|2.03|6.36
juice|salami,3.2|1.8,3.91|8.16
shampoo|carrot|water|tuna,4.8|2.8|2.1|5.0,11.54|2.95|4.27|14.83
tea|orange|salt|sugar|toilet_paper,3.4|3.3|2.1|3.9|4.2,4.3|3.75|1.59|5.8|6.28
salt|butter|tuna|beer|turkey_slices,3.7|2.5|2.6|1.8|3.2,6.19|4.27|9.51|9.28|9.28
chocolate|orange|ice_cream|candy|sugar,1.6|2.2|3.8|2.9|4.2,5.97|3.84|6.2|4.15|2.07
potato|juice|croissant|tuna,3.9|3.5|3.9|4.3,1.8|8.97|3.86|14.65
sugar|cereal|turkey|chips|salt,3.7|3.0|2.5|1.2|1.0,4.12|3.67|13.62|2.04|7.05
yogurt|cake|water|rice,4.4|1.2|4.7|2.8,3.79|3.53|9.48|7.16
hummus|potato|chocolate|flour|turkey,2.9|1.0|4.1|2.6|2.7,6.02|2.2|6.15|6.2|8.27
