items,quantities,unit_utilities
apple|pasta|coffee|cheese|rice|tea|toothpaste|vinegar|carrot|onion,3.3|1.8|3.2|1.3|3.0|4.1|2.1|5.0|3.7|1.5,3.93|4.06|9.74|4.03|7.6|9.3|4.79|4.81|2.5|1.14
coffee|rice|cheese|bread|pasta|bagel|ham|orange|potato|pretzels,4.4|3.4|3.0|3.0|3.0|3.3|2.9|1.1|2.3|1.4,5.58|3.5|7.39|5.42|5.59|4.19|5.59|2.97|3.92|4.89
coffee|cheese|bread|detergent|muffin|dinner|turkey_slices,1.4|1.1|2.3|1.6|3.8|2.6|4.1,11.13|7.24|4.81|3.56|2.12|4.45|5.95
cheese|chicken|bread|pasta|rice|vegetables|dessert|pretzels|turkey|nuts,1.9|4.9|2.2|2.2|1.8|3.8|2.3|2.4|4.7|4.2,3.64|6.22|4.54|3.97|7.87|8.73|9.68|6.02|7.9|3.44
chicken|apple|chips|ham|dessert,1.5|3.5|3.3|2.0|3.7,10.31|2.91|2.26|6.48|8.02
coffee|bread|pasta|muffin|berries|toothpaste|juice,3.6|4.0|2.1|2.1|1.2|4.1|3.6,3.55|4.82|7.03|1.67|9.45|6.76|10.21
pasta|apple|salami|ham|toothpaste|milk,3.3|1.4|4.9|2.1|5.0|3.2,4.71|3.82|9.11|6.81|4.74|2.68
coffee|milk|chicken|apple|dinner|pretzels|vegetables,2.6|2.7|2.3|2.6|1.4|4.9|2.9,11.29|2.04|8.84|2.34|4.87|3.65|7.08
chicken|bread|coffee|juice|cake|dessert|ham,4.6|4.1|3.8|3.6|4.8|2.5|1.9,14.57|3.65|6.0|11.88|3.18|7.91|9.48
rice|coffee|cheese|chips|tomato|toilet_paper|croissant|detergent,4.6|1.8|3.1|1.7|4.4|2.8|3.7|3.9,4.68|10.89|4.67|2.28|1.4|6.74|4.04|8.03
coffee|apple|rice|cheese|milk|lettuce|cream|olives|ham,1.1|2.6|4.1|4.1|4.9|3.6|2.7|5.0|2.5,10.57|3.72|3.94|6.1|5.97|2.62|5.92|6.09|5.07
cheese|coffee|bread|milk|chicken|crackers|chips|flour|turkey|lettuce|tuna|turkey_slices,3.9|1.5|4.2|2.7|4.1|4.5|1.1|1.8|1.4|1.1|3.4|3.8,2.29|9.15|3.31|3.41|7.17|6.32|2.28|4.78|7.89|3.45|12.32|5.91
bread|pasta|cheese|apple|chicken|nuts|chocolate|cereal|cookies|dinner,1.2|2.4|3.6|2.5|3.1|3.8|2.6|2.2|1.7|3.2,2.58|2.96|7.15|1.43|9.63|2.29|4.06|4.21|3.88|5.72
bread|coffee|pasta|rice|milk|chicken|salmon|dinner|chocolate|toothpaste|cookies,4.0|3.9|3.2|2.9|4.5|2.3|4.8|1.1|4.7|4.8|1.5,6.0|6.27|3.08|5.43|3.23|14.15|10.52|8.43|3.9|7.8|3.12
chicken|pasta|apple|rice|coffee|orange|banana|yogurt|shampoo|cereal,1.1|3.2|3.3|3.9|2.2|1.8|1.9|3.3|2.0|3.2,14.43|3.69|3.29|4.68|8.96|3.22|2.38|6.4|6.17|2.41
bread|pasta|cheese|rice|milk|flour|butter|bagel|pizza|cream|muffin,1.9|2.8|1.2|3.6|4.7|4.7|3.6|1.1|3.1|2.6|1.1,4.75|4.98|3.72|4.76|6.19|4.3|7.64|2.31|9.43|5.15|2.58
rice|chicken|apple|cheese|olives|pork|dessert|soap|berries|shampoo,4.0|1.4|2.5|3.2|1.2|1.0|1.7|3.0|2.7|4.1,5.18|13.58|1.29|5.17|4.26|7.11|9.08|10.99|6.33|3.42
coffee|chicken|cheese|cookies|soap|milk|beef,1.6|4.3|4.3|4.7|2.2|3.3|3.3,10.34|11.77|5.24|3.23|9.66|6.74|11.89
cheese|pasta|milk|apple|detergent|lettuce|vinegar|salami,2.6|4.1|1.1|2.1|5.0|3.0|2.4|4.8,4.59|5.92|5.96|1.26|8.57|3.39|6.14|4.49
apple|rice|bread|chicken|ice_cream|turkey_slices|soda|oil,1.3|2.7|3.2|3.0|1.4|1.4|3.2|3.4,3.35|7.11|1.56|9.14|6.68|8.35|7.15|7.95
cheese|bread|apple|chicken|beer|butter|tea|coffee|water,1.3|2.0|2.0|3.5|3.4|1.8|1.4|2.2|4.8,3.99|4.29|3.41|8.3|4.68|6.89|10.45|11.72|2.5
cheese|coffee|apple|bread|chicken|cereal|pizza|salami|salt|orange|tuna,4.1|2.5|4.7|1.8|5.0|1.7|4.1|1.1|3.9|4.8|1.8,6.79|10.14|1.21|5.32|12.95|5.87|3.97|5.82|3.14|1.46|9.23
milk|pasta|apple|cheese|coffee|crackers|salt|tomato|paper_towels|chips|vegetables|ice_cream,4.1|3.6|2.4|3.6|1.2|4.9|3.7|2.6|4.0|4.9|2.7|1.0,3.55|4.82|2.56|5.48|7.33|4.23|4.04|3.32|8.3|4.5|5.41|2.15
chicken|pasta|milk|rice|lettuce|salt,3.1|2.4|1.4|3.9|2.8|1.3,5.45|6.12|2.14|3.73|1.33|6.7
cheese|chicken|apple|sugar|pizza|cookies|berries|potato,3.9|4.5|2.8|2.7|1.0|1.9|2.1|3.8,6.78|10.77|3.4|4.99|5.56|2.39|3.8|3.01
cheese|coffee|chicken|rice|pretzels|flour|apple|ice_cream|bagel,1.5|2.2|1.7|3.8|3.0|2.7|1.6|2.5|1.7,5.81|8.63|11.45|8.0|4.77|4.68|1.42|3.89|3.53
rice|pasta|apple|bread|potato|nuts|berries|onion,3.0|3.8|2.8|1.7|3.3|4.2|1.9|1.1,2.96|3.38|3.34|4.05|3.32|4.48|6.58|2.72
rice|chicken|milk|coffee|crackers|olives|bread|detergent|oil|apple,5.0|2.8|2.4|4.3|2.8|5.0|4.1|1.9|4.2|3.4,3.78|12.11|5.8|2.83|2.7|5.24|2.43|3.53|3.78|1.84
chicken|coffee|rice|olives|dinner|ice_cream|salami|salt,4.7|5.0|4.5|1.5|4.5|2.0|3.8|4.3,12.61|8.44|4.68|7.46|4.88|4.49|6.71|5.62
apple|coffee|pasta|soda|water|candy|shampoo,4.4|1.4|4.9|3.5|3.8|4.4|4.2,2.19|11.65|6.86|6.44|4.55|3.42|7.93
cheese|apple|chicken|coffee|milk|bread|salt|soda|croissant|shampoo,2.8|1.0|4.8|1.8|3.8|1.5|3.6|1.6|4.7|2.1,5.93|1.75|8.72|10.94|2.99|3.28|3.49|8.69|2.55|8.9
milk|apple|bread|dinner|dessert|flour,5.0|2.7|1.5|1.3|2.5|3.9,2.61|1.94|5.46|3.96|8.41|6.4
coffee|milk|cheese|cake|tomato|beef|oil|toilet_paper,3.5|2.8|1.9|4.6|1.6|1.5|3.9|2.4,5.72|6.75|3.49|4.4|1.74|11.01|6.19|5.56
rice|coffee|chicken|cheese|wine|oil|apple|butter,4.6|4.8|3.0|1.5|3.0|3.4|3.1|4.9,7.91|11.27|6.32|7.16|7.25|3.88|3.05|6.58
milk|chicken|butter|salt|beer|pizza,3.0|2.7|3.8|1.3|3.1|3.5,3.66|8.1|5.07|2.82|9.89|6.75
cheese|rice|coffee|chicken|apple|pasta|turkey|ham|croissant|pretzels|butter|berries,3.6|1.7|1.1|1.5|1.0|3.0|2.4|3.1|4.3|2.0|2.5|4.0,7.24|6.26|2.3|14.0|2.01|4.29|10.24|5.58|5.89|5.14|4.98|6.58
apple|cheese|chicken|bread|candy|pasta|pork,3.0|1.2|4.5|2.0|2.9|2.5|1.6,3.79|7.14|10.53|5.61|5.7|4.23|8.22
pasta|chicken|rice|cheese|milk|coffee|pork|wine|yogurt|onion|toothpaste|shampoo|vinegar,2.2|1.3|2.8|2.5|2.2|4.1|4.0|2.0|2.5|4.9|5.0|4.1|3.9,5.05|12.96|2.48|7.59|2.14|6.96|11.36|8.63|2.06|2.01|9.83|6.39|6.3
milk|cheese|bread|apple|pasta|rice|ice_cream|ham|paper_towels|wine,2.5|4.9|1.3|1.4|1.5|4.3|1.3|3.3|2.7|4.9,3.42|3.57|2.92|3.4|6.05|6.28|3.91|5.63|3.67|3.23
bread|apple|chips|salami|beef|banana,2.1|1.5|1.6|3.7|4.3|3.8,1.68|3.51|3.64|4.55|7.48|2.07
coffee|chicken|pasta|milk|onion|soda|oil|turkey,2.8|4.2|1.6|1.0|4.3|4.9|1.5|4.3,5.09|11.3|5.69|5.49|1.78|9.94|1.64|5.64
rice|milk|pasta|ham|tea|beer|potato|coffee|tomato,4.6|2.1|2.8|1.6|3.5|3.5|3.6|3.0|4.5,4.61|2.53|3.99|6.52|8.07|9.77|1.75|11.93|2.63
pasta|rice|chicken|cheese|water|toilet_paper|beer|potato,1.7|2.3|1.9|4.6|4.1|1.2|5.0|3.1,6.48|8.0|14.74|2.6|8.23|5.4|9.98|3.75
rice|pasta|cheese|potato|ham|olives|cake,1.9|2.3|4.0|2.4|3.4|3.8|2.4,5.19|2.42|7.69|3.51|8.86|9.82|3.94
apple|milk|bread|cheese|toilet_paper|chicken|bagel|pasta,4.7|4.4|2.3|1.1|3.3|4.7|4.1|4.4,3.58|7.76|3.18|7.65|6.56|6.01|2.86|2.39
coffee|apple|chicken|rice|nuts|paper_towels|pretzels|tomato,3.7|4.3|2.5|3.9|2.2|1.7|1.0|3.8,7.3|3.55|12.71|5.19|2.91|5.86|6.04|2.83
pasta|bread|coffee|hummus|cake|toothpaste|ice_cream,3.8|3.6|4.5|2.8|2.1|2.0|1.3,3.17|1.99|1.01|6.32|4.8|11.72|7.31
pasta|chicken|apple|rice|cheese|pork|soda|sugar|yogurt|salmon|bread,2.4|4.6|1.6|1.3|4.8|4.9|2.4|4.9|4.6|3.8|2.7,5.75|11.07|2.3|1.85|3.99|14.74|5.5|5.1|7.55|10.4|4.47
bread|milk|cheese|rice|chicken|coffee|apple|berries|chocolate,1.7|2.2|1.3|4.4|2.2|2.6|3.0|3.6|1.4,3.95|3.11|7.31|3.9|9.46|3.9|2.4|4.58|3.34
bread|coffee|milk|sugar|oil|pork,1.2|2.5|3.1|4.9|3.7|4.7,4.08|3.59|3.79|4.07|7.05|5.35
milk|rice|bread|pasta|sugar|croissant|coffee|olives|tea,5.0|3.5|4.3|2.0|4.6|4.7|1.3|2.6|2.6,3.96|3.3|3.56|7.18|6.61|4.3|6.75|6.52|5.56
cheese|pasta|milk|salt|shampoo|toothpaste,2.1|3.6|3.3|2.9|1.7|2.6,5.71|5.93|4.41|4.07|10.91|9.21
coffee|pasta|milk|flour|banana|tuna|water,3.8|1.4|4.5|1.5|4.9|2.8|4.3,3.96|4.21|5.87|2.72|1.63|13.24|9.15
rice|cheese|bread|chicken|soap|toothpaste|detergent,2.0|2.8|4.7|3.8|2.1|4.3|3.0,5.63|2.74|1.64|8.72|8.35|4.6|10.83
chicken|rice|milk|butter|soap|salt|beef|pork,1.8|3.6|3.1|4.5|4.9|3.7|2.9|1.5,6.73|6.71|3.34|5.65|11.49|6.13|12.09|7.75
rice|apple|bread|chicken|cheese|milk|olives|salami|detergent|nuts|chocolate|tuna,3.7|2.9|2.3|2.1|2.3|2.1|3.6|4.8|3.6|1.8|3.1|2.0,1.87|3.57|5.15|9.04|3.92|2.84|4.15|6.98|5.66|6.53|4.02|12.37
chicken|coffee|apple|turkey_slices|tomato|cake|berries,3.2|2.2|2.9|4.0|3.9|3.2|4.7,14.47|10.9|2.96|5.33|1.67|5.42|5.94
chicken|cheese|apple|milk|coffee|candy|pizza|juice|croissant|dinner,3.1|2.7|4.5|1.6|5.0|2.4|4.9|4.6|4.9|1.6,13.62|3.08|1.24|4.0|11.85|3.57|3.41|5.97|2.44|8.41
apple|rice|milk|cheese|coffee|onion|salami|potato|yogurt|chicken,2.5|1.1|2.3|4.3|1.8|3.7|3.5|2.0|3.8|2.4,1.39|3.99|5.53|3.0|10.06|1.89|5.74|3.18|5.58|8.38
chicken|pasta|bread|toilet_paper|onion|pork|bagel,3.9|3.4|1.7|2.5|3.6|1.1|4.5,7.56|4.98|1.72|11.95|2.99|11.54|1.59
apple|cheese|muffin|dessert|pizza,3.6|3.6|2.1|3.4|1.5,3.49|2.63|4.73|3.82|3.8
apple|cheese|rice|hummus|tomato|onion|cake,3.2|4.6|3.8|2.9|1.9|1.1|1.4,1.33|5.44|4.71|9.7|3.34|1.23|4.76
coffee|apple|pasta|chicken|milk|rice|toothpaste|soap|tomato|dinner|croissant,4.4|4.6|1.0|1.6|3.6|2.3|4.6|4.8|2.1|3.9|2.5,4.77|1.34|4.1|9.57|7.01|5.98|7.3|6.8|3.66|4.17|2.1
pasta|rice|milk|water|nuts|tea|pretzels,4.1|3.4|4.5|4.5|3.9|4.6|2.9,4.67|7.27|4.64|1.7|5.27|1.14|6.34
pasta|coffee|chicken|cheese|bread|berries|turkey|lettuce|dinner,2.5|4.4|3.2|5.0|1.2|3.6|1.6|4.4|4.4,7.15|1.82|9.92|3.45|5.87|3.35|7.23|2.93|5.82
milk|apple|cheese|banana|hummus|cereal|onion,1.1|3.2|4.3|4.2|4.9|3.6|4.6,5.37|2.96|4.74|2.02|8.95|6.81|3.53
cheese|apple|coffee|milk|oil|beef|lettuce|detergent|salami,3.1|3.8|1.2|1.7|1.6|3.9|3.9|1.4|3.4,3.13|3.79|5.32|4.74|6.58|12.17|1.32|6.73|9.56
rice|apple|coffee|pasta|bagel|beer|chips|butter,4.7|4.4|2.9|3.0|4.7|1.7|3.3|3.9,2.33|2.16|7.61|7.24|3.77|5.23|6.9|7.5
chicken|pasta|apple|bread|coffee|rice|oil,4.4|3.8|4.7|3.5|1.8|3.5|2.2,8.45|5.87|3.94|4.43|11.54|4.78|6.01
coffee|rice|cheese|pasta|dinner|paper_towels|chips|toothpaste|milk,1.4|2.5|1.2|1.2|2.1|4.1|4.9|3.7|1.6,1.68|6.6|3.22|5.02|5.51|7.07|5.08|9.08|5.37
coffee|cheese|bread|rice|apple|berries|ham|potato|salami,4.9|2.3|3.2|1.1|2.0|3.5|4.1|4.5|4.3,11.03|6.23|4.41|6.41|2.64|7.22|8.66|3.89|5.77
pasta|milk|coffee|yogurt|tuna|salmon|cake|soap,1.0|2.9|4.7|1.2|4.7|3.4|4.1|3.5,6.98|3.81|9.69|5.3|5.73|12.08|3.86|11.61
rice|bread|cheese|apple|tomato|toothpaste|berries|orange,2.2|4.8|3.5|2.9|3.2|4.0|3.6|1.5,3.75|2.58|5.85|3.76|1.73|3.36|9.2|2.14
apple|cheese|chicken|pasta|flour|carrot|sugar|soda,1.2|4.6|1.8|3.1|4.8|1.7|4.8|3.2,1.02|2.39|11.7|6.53|7.12|2.27|2.18|6.92
coffee|pasta|bread|apple|chicken|milk|butter|sugar|nuts|candy|pork|salmon|potato,3.5|2.7|1.1|3.7|3.1|3.6|3.5|4.0|3.3|3.8|1.3|4.7|1.4,9.66|3.46|1.89|3.3|9.38|4.37|5.96|4.58|4.67|2.68|8.91|12.97|2.64
chicken|pasta|rice|coffee|salami|milk|toothpaste|bagel|yogurt,3.3|2.6|3.2|1.3|1.8|4.0|3.9|1.8|4.6,13.51|2.43|2.7|7.79|5.52|2.69|9.04|4.05|2.33
coffee|milk|chicken|bread|cheese|pasta|tomato|dinner|pork|tuna|cream|water,2.3|3.6|3.8|1.6|3.3|4.2|4.8|1.7|2.3|4.1|3.8|3.6,4.04|4.16|11.8|2.99|4.88|4.39|3.32|6.41|6.09|11.46|2.49|4.09
pasta|bread|coffee|paper_towels|soap|pizza|flour|candy,4.1|1.9|1.1|2.0|4.6|3.2|3.6|1.6,4.05|5.51|7.49|10.71|4.2|6.51|2.09|3.82
coffee|rice|cheese|cake|wine|soda|cookies,4.8|3.6|4.9|3.9|2.9|2.4|1.9,6.36|1.91|4.22|1.69|3.27|10.98|3.13
pasta|milk|coffee|tuna|cereal|candy|nuts|carrot|chocolate,4.6|1.3|2.0|4.9|1.9|2.6|4.3|2.4|4.2,7.27|2.04|10.7|9.4|2.99|4.57|3.4|1.45|2.79
coffee|apple|chicken|milk|dinner|water|chocolate|vegetables,2.6|2.0|1.5|3.4|1.5|3.1|4.6|1.6,2.83|3.77|10.17|4.43|9.78|8.01|6.39|8.1
