items,quantities,unit_utilities
milk|chicken|candy|carrot|bagel|ice_cream|turkey|onion,4.3|3.2|1.5|3.1|4.8|2.9|3.2|2.8,5.49|11.35|3.57|2.61|4.9|7.25|9.27|2.27
toothpaste|olives|pasta|tomato|yogurt|banana,5.0|2.3|4.0|1.4|2.8|2.3,7.59|5.74|5.43|3.29|5.54|2.35
olives|potato|water|soda,3.1|3.6|4.3|2.1,5.77|1.74|9.26|10.4
cream|crackers|salmon|lettuce|shampoo|onion|soap,4.3|2.9|2.8|1.3|3.3|4.9|2.3,3.38|6.5|14.06|2.09|10.55|3.48|7.4
dinner|tomato|salami|soap|turkey_slices|toothpaste|water,2.3|3.7|4.5|3.1|3.0|2.9|4.4,4.32|3.46|5.58|6.21|5.81|7.43|9.89
water|shampoo|ice_cream|vegetables|croissant,1.4|2.2|1.9|3.8|1.4,8.81|9.48|2.37|4.98|2.32
nuts|vinegar|ice_cream|flour|butter|bread,1.8|1.3|3.4|4.2|1.1|2.7,3.55|6.06|7.36|1.97|4.66|1.78
yogurt|chocolate|hummus|soap|pizza,2.4|4.2|1.2|2.1|4.6,2.34|5.15|7.65|10.02|4.3
pasta|toilet_paper|bagel|cereal|pork|flour|olives,2.9|2.3|3.2|1.3|3.9|4.1|1.7,6.95|9.68|2.57|4.59|12.3|2.69|4.14
carrot|nuts|yogurt|cheese,3.5|1.3|3.2|2.5,2.71|5.66|6.48|7.6
detergent|dessert|cake|cookies,2.9|4.4|2.0|1.4,4.61|3.52|1.92|3.67
salmon|chips|beer|pretzels,2.3|1.1|3.0|3.0,8.42|3.38|1.12|3.87
ham|vegetables|apple|milk|dessert,4.7|3.3|4.5|1.5|2.6,7.06|9.63|3.69|4.71|4.05
paper_towels|pizza|bagel|butter|yogurt|potato,3.2|4.6|1.7|4.0|3.6|2.6,5.61|8.97|5.27|5.14|4.55|2.39
vinegar|tea|rice|oil|turkey_slices|beef,4.5|2.0|2.1|2.5|2.9|2.7,5.03|9.27|6.89|7.38|7.74|5.8
salmon|soap|olives|apple,2.8|1.6|1.2|2.9,14.2|9.55|6.72|1.7
croissant|tuna|dinner|pasta|beer|vegetables,2.7|4.8|4.6|4.9|4.3|2.5,3.65|13.39|4.49|2.38|5.61|9.34
ice_cream|vinegar|hummus|turkey_slices|salmon|soda,3.7|4.8|2.4|3.4|3.1|4.9,2.08|2.48|8.24|5.68|12.97|11.24
turkey_slices|soap|crackers|candy|banana|milk,2.6|2.1|2.8|3.7|2.6|4.7,6.88|8.75|6.43|3.82|3.06|4.33
beer|dinner|paper_towels|bagel,2.4|4.6|3.1|1.2,5.0|4.02|9.56|1.9
oil|beef|juice|olives|sugar,2.3|1.7|3.4|2.6|4.6,5.54|9.76|8.13|8.15|3.62
soap|juice|flour|detergent|yogurt,4.2|2.5|1.3|2.5|3.4,4.96|9.36|6.66|4.15|5.14
toilet_paper|vegetables|orange|tuna|toothpaste,2.1|1.7|3.4|2.9|2.7,9.71|6.36|1.99|8.89|8.21
cream|chips|vinegar|turkey,3.1|4.7|1.8|4.6,3.28|5.05|3.59|13.11
pasta|cake|pretzels|butter,4.8|4.2|1.1|4.5,5.02|3.2|5.76|4.94
chicken|apple|carrot|pretzels|toothpaste|soda,3.5|3.3|4.2|3.2|3.1|2.0,14.23|2.31|3.76|3.96|10.82|3.97
candy|paper_towels|juice|crackers|sugar|vinegar|carrot,2.0|4.8|2.8|3.7|4.4|2.5|4.5,6.02|11.83|2.47|6.13|5.32|1.87|2.77
salt|soda|beer|salami|vegetables|bread,1.8|3.8|1.3|5.0|4.0|3.7,2.92|8.25|7.36|8.84|3.05|1.77
salt|pizza|toilet_paper|butter|rice|hummus,1.8|4.6|2.7|2.2|2.8|3.0,6.81|4.13|11.03|4.09|2.34|4.92
orange|cake|vinegar|butter|wine|bread|dinner,1.5|2.3|4.0|4.1|3.6|3.9|4.3,3.16|1.71|5.95|6.56|5.41|2.15|5.43
beef|paper_towels|banana|beer|sugar|potato|rice|olives,2.2|2.7|1.5|2.7|2.0|2.2|2.7|4.3,5.79|6.87|1.43|6.61|4.04|3.81|4.95|8.16
chicken|salami|apple|toilet_paper|ice_cream,2.4|2.8|1.5|3.3|3.3,7.11|8.29|2.61|6.65|3.59
cake|oil|lettuce|soda,2.9|1.2|2.7|4.7,3.89|7.58|2.97|10.04
paper_towels|orange|toilet_paper|banana|nuts|salmon|beer,3.9|3.2|3.8|2.2|3.1|4.7|1.9,5.52|3.41|4.19|1.25|3.4|9.15|2.07
detergent|cookies|pork|chocolate|cream|bagel|lettuce,4.2|2.4|2.4|3.6|1.6|2.2|1.4,10.11|3.72|13.46|6.15|5.03|2.15|1.45
dinner|cream|chocolate|tea|water|sugar|beer,2.6|1.5|2.0|1.6|3.5|3.3|5.0,8.55|4.68|4.06|10.26|7.63|6.15|3.21
ham|soda|bread|butter|salami|tea,2.1|1.4|3.8|4.6|2.9|3.6,6.02|10.59|3.38|3.25|9.05|4.82
cream|bagel|carrot|salmon|salt|flour|pizza|vegetables,4.2|2.1|3.5|2.0|4.0|2.8|4.6|2.1,4.82|2.52|1.35|6.18|6.62|2.08|4.2|3.6
croissant|bread|chocolate|wine|pizza|oil|salami|pretzels,3.7|3.4|3.2|1.5|5.0|1.9|1.8|3.6,5.42|5.96|5.92|6.21|3.83|6.07|8.19|5.95
dinner|cream|salami|turkey_slices|chicken,3.2|3.5|3.6|1.7|1.8,6.69|6.72|7.71|9.64|13.81
flour|muffin|toilet_paper|orange,4.6|1.2|4.7|2.5,4.51|1.77|11.28|2.59
cheese|bread|pizza|detergent|hummus|soda|juice|candy,2.6|3.3|1.3|2.0|4.9|4.0|2.6|3.2,7.0|4.01|8.38|6.79|7.21|10.53|5.11|6.72
pizza|nuts|milk|chocolate|chips,1.5|3.6|2.2|4.3|3.9,4.28|2.76|6.32|4.59|6.81
ham|pizza|apple|cake,4.3|3.1|2.2|1.7,6.54|3.11|2.98|5.69
pasta|apple|salmon|dessert,4.3|2.7|3.6|4.5,3.22|1.93|6.58|6.5
salami|lettuce|pork|flour|beef|banana|cake,1.2|4.3|2.1|2.9|3.0|4.9|1.0,8.36|1.9|5.03|2.88|14.15|2.74|2.8
nuts|ham|cake|crackers|potato|chips|vegetables|banana,3.0|3.9|4.1|1.7|3.5|4.9|3.3|3.2,2.55|5.54|5.89|5.83|1.6|2.75|4.43|1.46
yogurt|vegetables|bagel|chicken,3.0|4.1|1.1|4.3,2.73|7.26|4.46|12.85
detergent|pork|salmon|toothpaste|tomato|vegetables|cereal,1.3|4.5|4.0|2.2|4.7|2.1|3.0,5.39|12.72|12.81|6.93|1.95|4.15|4.79
lettuce|cereal|berries|shampoo|bagel,2.6|3.7|3.1|3.1|5.0,3.73|5.0|3.01|6.05|3.21
wine|salmon|cookies|banana|chocolate|oil,1.6|2.0|4.1|4.6|3.1|4.7,5.33|9.17|2.67|1.37|2.37|4.82
orange|olives|cereal|chocolate|potato|water|onion|coffee,1.5|2.6|3.0|1.6|3.8|4.8|4.8|3.3,2.92|5.36|6.6|2.65|3.29|3.99|2.94|10.1
orange|dessert|toothpaste|pretzels|sugar|water|soda,4.6|1.3|1.7|4.3|3.4|2.4|1.7,3.6|7.15|7.59|6.7|3.02|7.51|6.73
salmon|dessert|cheese|muffin|salt|yogurt,3.5|2.0|4.7|2.2|4.3|3.8,13.68|8.64|7.92|4.11|7.24|7.24
yogurt|detergent|pork|tomato,1.9|1.6|2.3|3.8,5.86|4.91|14.87|1.47
cookies|crackers|chips|pork|pretzels|apple|wine,2.1|4.6|2.3|3.3|2.7|3.6|2.1,3.59|6.97|2.54|10.44|5.83|3.5|5.25
onion|croissant|berries|banana|cereal,2.2|3.4|4.9|4.6|4.8,2.84|5.51|5.65|2.3|7.74
chicken|dinner|detergent|ice_cream,1.3|3.8|4.9|3.9,10.65|3.15|4.7|7.27
potato|pork|dinner|wine|salt|salami|shampoo,1.2|1.3|3.8|4.5|3.9|4.6|1.7,1.2|9.38|8.85|5.76|3.61|6.62|5.49
dessert|berries|cookies|chocolate|cheese|potato,2.5|3.9|2.6|2.6|2.0|1.2,4.83|8.58|2.47|3.76|5.82|2.79
pretzels|cheese|bread|banana|orange,4.7|4.2|4.0|3.4|1.5,3.46|4.65|4.62|2.44|3.98
pretzels|cream|ham|turkey|ice_cream|vinegar|flour,4.7|2.3|4.6|1.6|1.7|2.4|1.7,6.89|8.0|8.74|9.82|2.9|4.82|4.94
tea|beef|coffee|dinner|berries,2.2|1.6|1.7|2.6|1.8,5.52|5.49|4.68|6.51|4.79
turkey|wine|yogurt,2.3|1.9|3.6,6.99|3.55|6.39
croissant|hummus|ice_cream|soap|apple|banana|pork,1.5|4.2|3.2|4.2|3.7|1.2|2.6,2.34|6.08|4.44|4.41|3.95|2.41|13.1
sugar|cream|soda|tuna|ham,2.6|4.0|2.8|2.4|1.4,4.12|4.97|3.38|14.68|5.05
toothpaste|paper_towels|dessert|orange|banana|salami,4.6|3.8|1.0|4.3|2.0|3.4,10.04|8.94|4.07|2.5|3.05|8.24
